time,COR_Status,Controller_Mode,EStop_State,Machine_Mode,avail,dev_asset_chg,dev_asset_rem,Block_Number,Current_Tool,Execution,Part_Count,Program_Name_Editing,Program_Name_Running,Machine_Time,Spindle_Time,energy,watt,Feed_Override,Feed_Rate,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,smapeak,smarms,smcrest,smdisp,smvrms,X_Axis_Load,X_Position,xmapeak,xmarms,xmcrest,xmdisp,xmvrms,Y_Axis_Load,Y_Position,ymapeak,ymarms,ymcrest,ymdisp,ymvrms,Z_Axis_Load,Z_Position,zmapeak,zmarms,zmcrest,zmdisp,zmvrms
0.0,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,1,ERROR,39,A_N2_NEW-A3.NC,A_N2_NEW-A3.NC,35305.29,210774.984,5762.6,2467.0742,100,0.0,24,50,0,0,100,0.0,2903.48,54.7615,53.0205,3.75735e-05,0.0119458,0,567.8739207,672.113,44.0406,15.2612,2.6715e-05,0.00863273,0,399.9190463,432.311,49.908,8.66216,2.72287e-05,0.00693932,6,-30.31977317,216.325,34.8253,6.21172,6.61089e-05,0.0234838
0.156343,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,1,ERROR,39,A_N2_NEW-A3.NC,A_N2_NEW-A3.NC,35305.29,210774.984,5762.6,2467.0742,100,0.0,24,50,0,0,100,0.0,2903.48,54.7615,53.0205,3.75735e-05,0.0119458,0,567.8739278,672.113,44.0406,15.2612,2.6715e-05,0.00863273,0,399.9190463,432.311,49.908,8.66216,2.72287e-05,0.00693932,6,-30.31977317,216.325,34.8253,6.21172,6.61089e-05,0.0234838
0.30436,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,1,ACTIVE,39,A_N2_NEW-A3.NC,A_N2_NEW-A3.NC,35305.29,210774.984,5762.6,2467.0742,100,0.0,0,50,0,0,100,0.0,37121.4,1840.01,20.1746,0.000286883,0.228022,0,567.8739207,12554.2,278.978,45.0007,0.000258698,0.0714486,0,399.9190463,5283.78,1704.41,3.10006,0.000221024,0.410238,6,-30.31977317,4590.9,108.122,42.4604,0.000192227,0.0594061
0.457698,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,1,ACTIVE,39,A_N2_NEW-A3.NC,A_N2_NEW-A3.NC,35305.29,210774.984,5762.6,2467.0742,100,0.0,0,50,0,0,100,0.0,37121.4,1840.01,20.1746,0.000286883,0.228022,0,567.8739207,12554.2,278.978,45.0007,0.000258698,0.0714486,0,399.9190463,5283.78,1704.41,3.10006,0.000221024,0.410238,6,-30.31977317,4590.9,108.122,42.4604,0.000192227,0.0594061
0.612274,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,4,1,ACTIVE,39,A_N2_NEW-A3.NC,A_N2_NEW-A3.NC,35305.29,210774.984,5762.6,2467.0742,100,0.0,0,50,0,0,100,0.0,37121.4,1840.01,20.1746,0.000286883,0.228022,0,567.8739207,12554.2,278.978,45.0007,0.000258698,0.0714486,0,399.9190392,5283.78,1704.41,3.10006,0.000221024,0.410238,6,-30.31976173,4590.9,108.122,42.4604,0.000192227,0.0594061
0.758412,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,6,1,ACTIVE,39,A_N2_NEW-A3.NC,A_N2_NEW-A3.NC,35305.29,210774.984,5762.6,2467.0742,100,0.0,0,50,0,0,100,0.0,37121.4,1840.01,20.1746,0.000286883,0.228022,0,567.8739207,12554.2,278.978,45.0007,0.000258698,0.0714486,0,399.9263554,5283.78,1704.41,3.10006,0.000221024,0.410238,1,-31.18140129,4590.9,108.122,42.4604,0.000192227,0.0594061
0.908197,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,6,1,ACTIVE,39,A_N2_NEW-A3.NC,A_N2_NEW-A3.NC,35305.29,210774.984,5762.6,2467.0742,100,195.0667,0,50,0,0,100,0.0,37121.4,1840.01,20.1746,0.000286883,0.228022,0,567.8739108,12554.2,278.978,45.0007,0.000258698,0.0714486,0,399.9189668,5283.78,1704.41,3.10006,0.000221024,0.410238,7,-63.85314089,4590.9,108.122,42.4604,0.000192227,0.0594061
1.065623,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,7,1,ACTIVE,39,A_N2_NEW-A3.NC,A_N2_NEW-A3.NC,35305.29,210774.984,5762.6,2340.8501,100,143.15,0,50,0,0,100,0.0,37121.4,1840.01,20.1746,0.000286883,0.228022,1,563.1378894,12554.2,278.978,45.0007,0.000258698,0.0714486,3,381.2404166,5283.78,1704.41,3.10006,0.000221024,0.410238,5,-68.8871431,4590.9,108.122,42.4604,0.000192227,0.0594061
1.206477,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,7,1,ACTIVE,39,A_N2_NEW-A3.NC,A_N2_NEW-A3.NC,35305.29,210774.984,5762.6,2340.8501,100,119.3167,0,50,0,0,100,0.0,37121.4,1840.01,20.1746,0.000286883,0.228022,1,558.067949,12554.2,278.978,45.0007,0.000258698,0.0714486,3,361.2441067,5283.78,1704.41,3.10006,0.000221024,0.410238,5,-68.88779529,4590.9,108.122,42.4604,0.000192227,0.0594061
1.349416,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,7,1,ACTIVE,39,A_N2_NEW-A3.NC,A_N2_NEW-A3.NC,35305.29,210774.984,5762.6,2340.8501,100,200.0,1,50,0,0,100,0.0,2999.47,1649.92,1.81795,0.000384936,0.201312,0,547.9543027,13802.4,52.974,260.55,6.59025e-05,0.0271698,1,321.3570098,6724.8,52.5745,127.91,1.90763e-05,0.00765426,6,-68.88776097,408.612,52.8124,7.73705,0.000645165,0.123454
1.49305,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,7,1,ACTIVE,39,A_N2_NEW-A3.NC,A_N2_NEW-A3.NC,35305.29,210774.984,5762.6,2340.8501,100,200.0,1,50,0,0,100,0.0,2999.47,1649.92,1.81795,0.000384936,0.201312,0,542.9033339,13802.4,52.974,260.55,6.59025e-05,0.0271698,1,301.4376986,6724.8,52.5745,127.91,1.90763e-05,0.00765426,6,-68.88772664,408.612,52.8124,7.73705,0.000645165,0.123454
1.63105,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,7,1,ACTIVE,39,A_N2_NEW-A3.NC,A_N2_NEW-A3.NC,35305.29,210774.984,5762.6,2340.8501,100,200.0,1,50,0,0,100,0.0,2999.47,1649.92,1.81795,0.000384936,0.201312,0,540.3481417,13802.4,52.974,260.55,6.59025e-05,0.0271698,1,291.3590388,6724.8,52.5745,127.91,1.90763e-05,0.00765426,6,-68.88770376,408.612,52.8124,7.73705,0.000645165,0.123454
1.772176,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,7,1,ACTIVE,39,A_N2_NEW-A3.NC,A_N2_NEW-A3.NC,35305.29,210774.984,5762.6,2340.8501,100,137.4833,1,50,0,0,100,0.0,2999.47,1649.92,1.81795,0.000384936,0.201312,0,536.3264108,13802.4,52.974,260.55,6.59025e-05,0.0271698,1,275.4991126,6724.8,52.5745,127.91,1.90763e-05,0.00765426,6,-68.88766943,408.612,52.8124,7.73705,0.000645165,0.123454
1.916978,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,8,1,ACTIVE,39,A_N2_NEW-A3.NC,A_N2_NEW-A3.NC,35305.29,210774.984,5762.6,2340.8501,100,45.31667,1,50,0,0,100,0.0,2999.47,1649.92,1.81795,0.000384936,0.201312,0,535.8764285,13802.4,52.974,260.55,6.59025e-05,0.0271698,0,273.7250623,6724.8,52.5745,127.91,1.90763e-05,0.00765426,1,-68.88764655,408.612,52.8124,7.73705,0.000645165,0.123454
