time,COR_Status,Controller_Mode,EStop_State,Machine_Mode,avail,dev_asset_chg,dev_asset_rem,Block_Number,Current_Tool,Execution,Part_Count,Program_Name_Editing,Program_Name_Running,Machine_Time,Spindle_Time,energy,watt,Feed_Override,Feed_Rate,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,smapeak,smarms,smcrest,smdisp,smvrms,X_Axis_Load,X_Position,xmapeak,xmarms,xmcrest,xmdisp,xmvrms,Y_Axis_Load,Y_Position,ymapeak,ymarms,ymcrest,ymdisp,ymvrms,Z_Axis_Load,Z_Position,zmapeak,zmarms,zmcrest,zmdisp,zmvrms
0.0,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,11,F1_N2-A3.NC,F1_N2-A3.NC,2077098.662,194564.758,5711.8,2337.4282,100,0.0,9,100,0,0,100,0.0,3479.38,417.987,8.32413,7.16891e-05,0.0240693,0,10.39242143,840.142,45.2234,18.5776,2.33936e-05,0.0068894,0,455.546612,576.411,47.0335,12.2553,4.9116e-05,0.0120592,7,8.56003600593725e-06,192.289,29.148,6.59699,8.91547e-05,0.0189564
0.137758,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,11,F1_N2-A3.NC,F1_N2-A3.NC,2077098.662,194564.758,5711.8,2337.4282,100,0.0,9,100,0,0,100,0.0,3479.38,417.987,8.32413,7.16891e-05,0.0240693,0,10.39241428,840.142,45.2234,18.5776,2.33936e-05,0.0068894,0,455.5466192,576.411,47.0335,12.2553,4.9116e-05,0.0120592,7,8.56003600593725e-06,192.289,29.148,6.59699,8.91547e-05,0.0189564
0.283638,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,11,F1_N2-A3.NC,F1_N2-A3.NC,2077098.662,194564.758,5711.8,2337.4282,100,0.0,9,100,0,0,100,0.0,3479.38,417.987,8.32413,7.16891e-05,0.0240693,0,10.39242143,840.142,45.2234,18.5776,2.33936e-05,0.0068894,0,455.5466192,576.411,47.0335,12.2553,4.9116e-05,0.0120592,7,-2.88e-06,192.289,29.148,6.59699,8.91547e-05,0.0189564
0.427256,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,11,F1_N2-A3.NC,F1_N2-A3.NC,2077098.662,194564.758,5711.8,2337.4282,100,0.0,9,100,0,0,100,0.0,3479.38,417.987,8.32413,7.16891e-05,0.0240693,0,10.39242143,840.142,45.2234,18.5776,2.33936e-05,0.0068894,0,455.5466192,576.411,47.0335,12.2553,4.9116e-05,0.0120592,7,8.56003600593725e-06,192.289,29.148,6.59699,8.91547e-05,0.0189564
0.568058,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,11,F1_N2-A3.NC,F1_N2-A3.NC,2077098.662,194564.758,5711.8,2337.4282,100,0.0,9,100,0,0,100,0.0,3479.38,417.987,8.32413,7.16891e-05,0.0240693,0,10.39241428,840.142,45.2234,18.5776,2.33936e-05,0.0068894,0,455.5466192,576.411,47.0335,12.2553,4.9116e-05,0.0120592,7,-2.88e-06,192.289,29.148,6.59699,8.91547e-05,0.0189564
0.715563,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,11,F1_N2-A3.NC,F1_N2-A3.NC,2077098.662,194564.758,5711.8,2444.1936,100,0.0,9,100,0,0,100,0.0,3503.38,401.295,8.73019,4.29394e-05,0.0210197,0,10.39242143,816.139,43.8764,18.6009,2.98819e-05,0.0093038,0,455.5466192,552.394,48.4732,11.3959,6.07877e-05,0.0192192,7,8.56003600593725e-06,192.288,29.0846,6.61133,5.50398e-05,0.0153579
0.853776,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,11,F1_N2-A3.NC,F1_N2-A3.NC,2077098.662,194564.758,5711.8,2444.1936,100,0.0,9,100,0,0,100,0.0,3503.38,401.295,8.73019,4.29394e-05,0.0210197,0,10.39242143,816.139,43.8764,18.6009,2.98819e-05,0.0093038,0,455.5466192,552.394,48.4732,11.3959,6.07877e-05,0.0192192,7,-2.88e-06,192.288,29.0846,6.61133,5.50398e-05,0.0153579
0.998739,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,11,F1_N2-A3.NC,F1_N2-A3.NC,2077098.662,194564.758,5711.8,2444.1936,100,0.0,9,100,0,0,100,0.0,3503.38,401.295,8.73019,4.29394e-05,0.0210197,0,10.39242143,816.139,43.8764,18.6009,2.98819e-05,0.0093038,0,455.5466192,552.394,48.4732,11.3959,6.07877e-05,0.0192192,7,8.56003600593725e-06,192.288,29.0846,6.61133,5.50398e-05,0.0153579
1.143053,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ACTIVE,11,F1_N2-A3.NC,F1_N2-A3.NC,2077098.662,194564.758,5711.8,2444.1936,100,0.0,0,100,0,0,100,0.0,3503.38,401.295,8.73019,4.29394e-05,0.0210197,0,10.39242143,816.139,43.8764,18.6009,2.98819e-05,0.0093038,0,455.5466192,552.394,48.4732,11.3959,6.07877e-05,0.0192192,7,-2.88e-06,192.288,29.0846,6.61133,5.50398e-05,0.0153579
1.295294,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ACTIVE,11,F1_N2-A3.NC,F1_N2-A3.NC,2077098.662,194564.758,5711.8,2444.1936,100,0.0,0,100,0,0,100,0.0,3503.38,401.295,8.73019,4.29394e-05,0.0210197,0,10.39242143,816.139,43.8764,18.6009,2.98819e-05,0.0093038,0,455.5466192,552.394,48.4732,11.3959,6.07877e-05,0.0192192,7,-2.88e-06,192.288,29.0846,6.61133,5.50398e-05,0.0153579
