time,COR_Status,Controller_Mode,EStop_State,Machine_Mode,avail,dev_asset_chg,dev_asset_rem,Block_Number,Current_Tool,Execution,Part_Count,Program_Name_Editing,Program_Name_Running,Machine_Time,Spindle_Time,energy,watt,Feed_Override,Feed_Rate,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,smapeak,smarms,smcrest,smdisp,smvrms,X_Axis_Load,X_Position,xmapeak,xmarms,xmcrest,xmdisp,xmvrms,Y_Axis_Load,Y_Position,ymapeak,ymarms,ymcrest,ymdisp,ymvrms,Z_Axis_Load,Z_Position,zmapeak,zmarms,zmcrest,zmdisp,zmvrms
0.0,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,9,E_P1S-A3.NC,E_P1S-A3.NC,2074576.206,193844.312,5710.0,2392.6685,100,0.0,41,100,0,0,100,0.0,2783.5,45.9569,60.5676,7.38589e-05,0.0177947,0,558.608585,600.103,31.4289,19.094,6.51132e-05,0.0146247,0,306.1168442,384.271,49.7388,7.72578,3.1672e-05,0.0106131,7,-30.31976735,216.323,64.8039,3.33812,0.00133409,0.206063
0.206753,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,9,E_P1S-A3.NC,E_P1S-A3.NC,2074576.206,193844.312,5710.0,2392.6685,100,0.0,41,100,0,0,100,0.0,2783.5,45.9569,60.5676,7.38589e-05,0.0177947,0,558.608585,600.103,31.4289,19.094,6.51132e-05,0.0146247,0,306.1168442,384.271,49.7388,7.72578,3.1672e-05,0.0106131,7,-30.31976735,216.323,64.8039,3.33812,0.00133409,0.206063
0.365848,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,9,E_P1S-A3.NC,E_P1S-A3.NC,2074576.206,193844.312,5710.0,2392.6685,100,0.0,41,100,0,0,100,0.0,2783.5,45.9569,60.5676,7.38589e-05,0.0177947,0,558.608585,600.103,31.4289,19.094,6.51132e-05,0.0146247,0,306.1168442,384.271,49.7388,7.72578,3.1672e-05,0.0106131,7,-30.31976735,216.323,64.8039,3.33812,0.00133409,0.206063
0.610962,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,9,E_P1S-A3.NC,E_P1S-A3.NC,2074576.206,193844.312,5710.0,2392.6685,100,0.0,41,100,0,0,100,0.0,2783.5,45.9569,60.5676,7.38589e-05,0.0177947,0,558.6085778,600.103,31.4289,19.094,6.51132e-05,0.0146247,0,306.1168442,384.271,49.7388,7.72578,3.1672e-05,0.0106131,7,-30.31976735,216.323,64.8039,3.33812,0.00133409,0.206063
1.102159,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,4,5,ACTIVE,9,E_P1S-A3.NC,E_P1S-A3.NC,2074576.206,193844.312,5710.0,2392.6685,100,0.0,0,100,0,0,100,0.0,2783.5,45.9569,60.5676,7.38589e-05,0.0177947,0,558.608585,600.103,31.4289,19.094,6.51132e-05,0.0146247,0,306.1233992,384.271,49.7388,7.72578,3.1672e-05,0.0106131,7,-30.77209131,216.323,64.8039,3.33812,0.00133409,0.206063
1.280822,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,6,5,ACTIVE,9,E_P1S-A3.NC,E_P1S-A3.NC,2074576.206,193844.312,5710.0,2392.6685,100,43.28333,0,100,0,0,100,0.0,2783.5,45.9569,60.5676,7.38589e-05,0.0177947,0,558.608585,600.103,31.4289,19.094,6.51132e-05,0.0146247,0,306.1171763,384.271,49.7388,7.72578,3.1672e-05,0.0106131,1,-40.35732651,216.323,64.8039,3.33812,0.00133409,0.206063
1.425801,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,7,5,ACTIVE,9,E_P1S-A3.NC,E_P1S-A3.NC,2074576.206,193844.312,5710.0,2392.6685,100,79.45,0,100,0,0,100,0.0,2783.5,45.9569,60.5676,7.38589e-05,0.0177947,0,557.0312082,600.103,31.4289,19.094,6.51132e-05,0.0146247,0,304.8132335,384.271,49.7388,7.72578,3.1672e-05,0.0106131,1,-45.97136795,216.323,64.8039,3.33812,0.00133409,0.206063
1.574104,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,7,5,ACTIVE,9,E_P1S-A3.NC,E_P1S-A3.NC,2074576.206,193844.312,5710.0,3063.1287,100,68.0,0,100,0,0,100,0.0,22388.0,4850.12,4.61597,0.000914395,0.286722,6,531.2238042,59746.3,104.437,572.08,0.000265654,0.0582658,5,283.4728924,5403.86,145.079,37.2477,8.04135e-05,0.0480009,5,-45.98782504,961.449,135.562,7.09232,0.00261174,0.412717
1.721072,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,8,5,ACTIVE,9,E_P1S-A3.NC,E_P1S-A3.NC,2074576.206,193844.312,5710.0,3063.1287,100,18.06667,0,100,0,0,100,0.0,22388.0,4850.12,4.61597,0.000914395,0.286722,2,529.9364566,59746.3,104.437,572.08,0.000265654,0.0582658,2,282.4092478,5403.86,145.079,37.2477,8.04135e-05,0.0480009,5,-45.9878136,961.449,135.562,7.09232,0.00261174,0.412717
1.862094,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,8,5,ACTIVE,9,E_P1S-A3.NC,E_P1S-A3.NC,2074576.206,193844.312,5710.0,3063.1287,100,203.4667,1,100,0,0,100,0.0,22388.0,4850.12,4.61597,0.000914395,0.286722,0,529.9291252,59746.3,104.437,572.08,0.000265654,0.0582658,0,282.4027676,5403.86,145.079,37.2477,8.04135e-05,0.0480009,3,-60.42660691,961.449,135.562,7.09232,0.00261174,0.412717
