time,COR_Status,Controller_Mode,EStop_State,Machine_Mode,avail,dev_asset_chg,dev_asset_rem,Block_Number,Current_Tool,Execution,Part_Count,Program_Name_Editing,Program_Name_Running,Machine_Time,Spindle_Time,energy,watt,Feed_Override,Feed_Rate,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,smapeak,smarms,smcrest,smdisp,smvrms,X_Axis_Load,X_Position,xmapeak,xmarms,xmcrest,xmdisp,xmvrms,Y_Axis_Load,Y_Position,ymapeak,ymarms,ymcrest,ymdisp,ymvrms,Z_Axis_Load,Z_Position,zmapeak,zmarms,zmcrest,zmdisp,zmvrms
0.0,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,1,ERROR,2,A_P1-3A.NC,A_P1-3A.NC,2057642.194,190601.037,5698.4,2018.0688,100,0.0,20,100,0,0,100,0.0,2807.5,43.6207,64.3616,2.69817e-05,0.0111032,0,556.5053342,2832.49,34.9133,81.1293,6.90288e-05,0.0153324,0,307.8542095,432.307,48.5706,8.90059,1.97319e-05,0.00662783,6,-30.31977317,192.288,27.5656,6.97565,2.2331e-05,0.00700137
0.146273,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,1,ERROR,2,A_P1-3A.NC,A_P1-3A.NC,2057642.194,190601.037,5698.4,2018.0688,100,0.0,20,100,0,0,100,0.0,2807.5,43.6207,64.3616,2.69817e-05,0.0111032,0,556.5053342,2832.49,34.9133,81.1293,6.90288e-05,0.0153324,0,307.8542023,432.307,48.5706,8.90059,1.97319e-05,0.00662783,6,-30.31977317,192.288,27.5656,6.97565,2.2331e-05,0.00700137
0.309662,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,1,ERROR,2,A_P1-3A.NC,A_P1-3A.NC,2057642.194,190601.037,5698.4,2018.0688,100,0.0,20,100,0,0,100,0.0,2807.5,43.6207,64.3616,2.69817e-05,0.0111032,0,556.5053271,2832.49,34.9133,81.1293,6.90288e-05,0.0153324,0,307.8542095,432.307,48.5706,8.90059,1.97319e-05,0.00662783,6,-30.31977317,192.288,27.5656,6.97565,2.2331e-05,0.00700137
0.489911,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,1,ERROR,2,A_P1-3A.NC,A_P1-3A.NC,2057642.194,190601.037,5698.4,2018.0688,100,0.0,20,100,0,0,100,0.0,2783.5,47.7934,58.2403,6.91414e-05,0.0154243,0,556.5053271,2880.5,32.769,87.9032,3.66169e-05,0.0121737,0,307.8542023,408.289,47.111,8.66653,3.8587e-05,0.0110575,6,-30.31977317,216.323,27.3427,7.91154,2.62134e-05,0.00808182
0.630792,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,1,ERROR,2,A_P1-3A.NC,A_P1-3A.NC,2057642.194,190601.037,5698.4,2450.1982,100,0.0,20,100,0,0,100,0.0,2783.5,47.7934,58.2403,6.91414e-05,0.0154243,0,556.5053342,2880.5,32.769,87.9032,3.66169e-05,0.0121737,0,307.8542023,408.289,47.111,8.66653,3.8587e-05,0.0110575,6,-30.31977317,216.323,27.3427,7.91154,2.62134e-05,0.00808182
0.775668,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,1,ERROR,2,A_P1-3A.NC,A_P1-3A.NC,2057642.194,190601.037,5698.4,2450.1982,100,0.0,20,100,0,0,100,0.0,2783.5,47.7934,58.2403,6.91414e-05,0.0154243,0,556.5053271,2880.5,32.769,87.9032,3.66169e-05,0.0121737,0,307.8542023,408.289,47.111,8.66653,3.8587e-05,0.0110575,6,-30.31977317,216.323,27.3427,7.91154,2.62134e-05,0.00808182
0.918259,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,1,ACTIVE,2,A_P1-3A.NC,A_P1-3A.NC,2057642.194,190601.037,5698.4,2450.1982,100,0.0,0,100,0,0,100,0.0,2783.5,47.7934,58.2403,6.91414e-05,0.0154243,0,556.5053271,2880.5,32.769,87.9032,3.66169e-05,0.0121737,0,307.8542095,408.289,47.111,8.66653,3.8587e-05,0.0110575,6,-30.31977317,216.323,27.3427,7.91154,2.62134e-05,0.00808182
1.063683,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,1,ACTIVE,2,A_P1-3A.NC,A_P1-3A.NC,2057642.194,190601.037,5698.4,2450.1982,100,0.0,0,100,0,0,100,0.0,2783.5,47.7934,58.2403,6.91414e-05,0.0154243,0,556.5053271,2880.5,32.769,87.9032,3.66169e-05,0.0121737,0,307.8542023,408.289,47.111,8.66653,3.8587e-05,0.0110575,6,-30.31977317,216.323,27.3427,7.91154,2.62134e-05,0.00808182
1.211051,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,1,ACTIVE,2,A_P1-3A.NC,A_P1-3A.NC,2057642.194,190601.037,5698.4,2450.1982,100,0.0,0,100,0,0,100,0.0,2783.5,47.7934,58.2403,6.91414e-05,0.0154243,0,556.5053271,2880.5,32.769,87.9032,3.66169e-05,0.0121737,0,307.8542023,408.289,47.111,8.66653,3.8587e-05,0.0110575,6,-30.31977317,216.323,27.3427,7.91154,2.62134e-05,0.00808182
1.349608,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,4,1,ACTIVE,2,A_P1-3A.NC,A_P1-3A.NC,2057642.194,190601.037,5698.4,2450.1982,100,0.0,0,100,0,0,100,0.0,2783.5,47.7934,58.2403,6.91414e-05,0.0154243,0,556.5053271,2880.5,32.769,87.9032,3.66169e-05,0.0121737,0,307.8542095,408.289,47.111,8.66653,3.8587e-05,0.0110575,6,-30.81615236,216.323,27.3427,7.91154,2.62134e-05,0.00808182
