time,COR_Status,Controller_Mode,EStop_State,Machine_Mode,avail,dev_asset_chg,dev_asset_rem,Block_Number,Current_Tool,Execution,Part_Count,Program_Name_Editing,Program_Name_Running,A_Axis_Load,A_Position,C_Axis_Load,C_Position,Machine_Time,Spindle_Time,energy,watt,Feed_Override,Feed_Rate,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,smapeak,smarms,smcrest,smtemp,smvrms,X_Axis_Load,X_Position,xmapeak,xmarms,xmcrest,xmtemp,xmvrms,Y_Axis_Load,Y_Position,ymapeak,ymarms,ymcrest,ymtemp,ymvrms,Z_Axis_Load,Z_Position,zmapeak,zmarms,zmcrest,zmtemp,zmvrms
0.0,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,6,ERROR,713,E_P3S-A5.NC,E_P3S-A5.NC,6,0.000668021,20,0.0005,1615757.833,469312.686,184.4,1150.8624,100,0.0,49,100,0,0,100,0.0,300,100,3.3,25.6,0.0,7,4.94e-06,300,100,2.5,22.6,0.0,4,507.9999927,1500,900,1.6,26.1,0.1,34,-99.8670012,300,100,3.7,28.8,0.0
0.1,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,6,ERROR,713,E_P3S-A5.NC,E_P3S-A5.NC,6,0.000668021,20,0.0005,1615757.833,469312.686,184.4,1150.8624,100,0.0,49,100,0,0,100,0.0,300,100,3.3,25.6,0.0,7,-6.5e-06,300,100,2.5,22.6,0.0,4,507.9999927,1500,900,1.6,26.1,0.1,34,-99.8670012,300,100,3.7,28.8,0.0
0.3,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,6,ERROR,713,E_P3S-A5.NC,E_P3S-A5.NC,6,0.000668021,20,0.0005,1615757.833,469312.686,184.4,1150.8624,100,0.0,49,100,0,0,100,0.0,300,100,3.3,25.6,0.0,7,-6.5e-06,300,100,2.5,22.6,0.0,4,508.0000042,1500,900,1.6,26.1,0.1,34,-99.8670012,300,100,3.7,28.8,0.0
0.4,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,6,ERROR,713,E_P3S-A5.NC,E_P3S-A5.NC,6,0.000668021,20,0.0005,1615757.833,469312.686,184.4,1150.8624,100,0.0,49,100,0,0,100,0.0,300,100,3.3,25.6,0.0,7,4.94e-06,300,100,2.5,22.6,0.0,4,507.9999927,1500,900,1.6,26.1,0.1,34,-99.8670012,300,100,3.7,28.8,0.0
0.5,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,6,ERROR,713,E_P3S-A5.NC,E_P3S-A5.NC,6,0.000668021,20,0.0005,1615757.833,469312.686,184.4,1150.8624,100,0.0,49,100,0,0,100,0.0,300,100,3.4,25.6,0.0,7,-6.5e-06,300,100,2.5,22.6,0.0,4,508.0000042,1500,900,1.7,26.1,0.1,34,-99.8670012,300,100,3.4,28.8,0.0
0.7,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,6,ERROR,713,E_P3S-A5.NC,E_P3S-A5.NC,6,0.000668021,20,0.0005,1615757.833,469312.686,184.4,1150.5762,100,0.0,49,100,0,0,100,0.0,300,100,3.4,25.6,0.0,7,4.94e-06,300,100,2.5,22.6,0.0,4,508.0000042,1500,900,1.7,26.1,0.1,34,-99.8670012,300,100,3.4,28.8,0.0
0.8,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,6,ERROR,713,E_P3S-A5.NC,E_P3S-A5.NC,6,0.000668021,20,0.0005,1615757.833,469312.686,184.4,1150.5762,100,0.0,49,100,0,0,100,0.0,300,100,3.4,25.6,0.0,7,-6.5e-06,300,100,2.5,22.6,0.0,4,508.0000042,1500,900,1.7,26.1,0.1,34,-99.8670012,300,100,3.4,28.8,0.0
1.0,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,6,ERROR,713,E_P3S-A5.NC,E_P3S-A5.NC,6,0.000668021,20,0.0005,1615757.833,469312.686,184.4,1150.5762,100,0.0,49,100,0,0,100,0.0,300,100,3.4,25.6,0.0,7,-6.5e-06,300,100,2.5,22.6,0.0,4,508.0000042,1500,900,1.7,26.1,0.1,34,-99.8670012,300,100,3.4,28.8,0.0
1.1,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,6,ERROR,713,E_P3S-A5.NC,E_P3S-A5.NC,6,0.000668021,20,0.0005,1615757.833,469312.686,184.4,1150.5762,100,0.0,49,100,0,0,100,0.0,300,100,3.4,25.6,0.0,7,4.94e-06,300,100,2.5,22.6,0.0,4,508.0000042,1500,900,1.7,26.1,0.1,34,-99.8670012,300,100,3.4,28.8,0.0
1.3,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,6,ERROR,713,E_P3S-A5.NC,E_P3S-A5.NC,6,0.000668021,20,0.0005,1615757.833,469312.686,184.4,1150.5762,100,0.0,49,100,0,0,100,0.0,300,100,3.4,25.6,0.0,7,4.94e-06,300,100,2.5,22.6,0.0,4,507.9999927,1500,900,1.7,26.1,0.1,34,-99.86698976,300,100,3.4,28.8,0.0
