time,COR_Status,Controller_Mode,EStop_State,Machine_Mode,avail,dev_asset_chg,dev_asset_rem,Block_Number,Current_Tool,Execution,Part_Count,Program_Name_Editing,Program_Name_Running,A_Axis_Load,A_Position,C_Axis_Load,C_Position,Machine_Time,Spindle_Time,energy,watt,Feed_Override,Feed_Rate,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,smapeak,smarms,smcrest,smtemp,smvrms,X_Axis_Load,X_Position,xmapeak,xmarms,xmcrest,xmtemp,xmvrms,Y_Axis_Load,Y_Position,ymapeak,ymarms,ymcrest,ymtemp,ymvrms,Z_Axis_Load,Z_Position,zmapeak,zmarms,zmcrest,zmtemp,zmvrms
0.0,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,45,4,ACTIVE,710,D_P1-A5.NC,D_P1-A5.NC,6,0.000167898,20,0.0005,1609633.146,468592,184.4,3267.4148,100,29.63333,35,100,0,1,100,3700.0,8200,2000,4.1,24.2,0.3,10,373.9863065,2300,900,2.6,22.6,0.5,4,221.8173401,2500,700,3.7,25.9,0.3,32,-296.1354088,2100,600,3.4,27.8,0.3
0.155334,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,45,4,ACTIVE,710,D_P1-A5.NC,D_P1-A5.NC,6,0.000167898,20,0.0005,1609633.146,468592,184.4,3267.4148,100,29.63333,36,100,0,1,100,3700.0,8200,2000,4.1,24.2,0.3,10,370.9337726,2300,900,2.6,22.6,0.5,4,221.8173401,2500,700,3.7,25.9,0.3,32,-296.1353974,2100,600,3.4,27.8,0.3
0.313156,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,45,4,ACTIVE,710,D_P1-A5.NC,D_P1-A5.NC,6,0.000167898,20,0.0005,1609633.146,468592,184.4,3267.4148,100,29.63333,36,100,0,2,100,3700.0,8200,2000,4.1,24.2,0.3,7,369.4079005,2300,900,2.6,22.6,0.5,4,221.8173401,2500,700,3.7,25.9,0.3,32,-296.1353974,2100,600,3.4,27.8,0.3
0.461754,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,45,4,ACTIVE,710,D_P1-A5.NC,D_P1-A5.NC,6,0.002168391,20,0.001,1609633.146,468592,184.4,3267.4148,100,29.63333,36,100,0,2,100,3700.0,8200,2000,4.1,24.2,0.3,7,363.2958976,2300,900,2.6,22.6,0.5,4,221.8171684,2500,700,3.7,25.9,0.3,32,-296.1353745,2100,600,3.4,27.8,0.3
0.605399,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,45,4,ACTIVE,710,D_P1-A5.NC,D_P1-A5.NC,6,-0.000832349,20,0.0005,1609633.146,468592,184.4,3267.4148,100,29.63333,36,100,0,3,100,3700.0,8200,2000,4.1,24.2,0.3,1,360.2435354,2300,900,2.6,22.6,0.5,8,221.817054,2500,700,3.7,25.9,0.3,33,-296.1353974,2100,600,3.4,27.8,0.3
0.7436,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,45,4,ACTIVE,710,D_P1-A5.NC,D_P1-A5.NC,6,0.001168144,20,0.0005,1609633.146,468592,184.4,2098.8374,100,29.63333,36,100,0,3,100,3700.0,8200,2000,4.1,24.2,0.3,1,357.1765475,2300,900,2.6,22.6,0.5,8,221.8174202,2500,700,3.7,25.9,0.3,33,-296.1354317,2100,600,3.4,27.8,0.3
0.883617,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,45,4,ACTIVE,710,D_P1-A5.NC,D_P1-A5.NC,6,0.000668021,20,0.0005,1609633.146,468592,184.4,2098.8374,100,29.63333,36,100,0,2,100,3700.0,8200,2000,4.1,24.2,0.3,2,348.0126232,2300,900,2.6,22.6,0.5,8,221.8174774,2500,700,3.7,25.9,0.3,33,-296.1353859,2100,600,3.4,27.8,0.3
1.033459,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,45,4,ACTIVE,710,D_P1-A5.NC,D_P1-A5.NC,6,-0.000332225,20,0.0005,1609633.146,468592,184.4,2098.8374,100,29.63333,36,100,0,2,100,3700.0,5800,1000,5.9,24.2,0.2,2,344.9605977,400,100,5.4,22.6,0.0,8,221.8173515,1400,500,3.0,25.9,0.1,33,-296.1354546,400,100,3.3,27.8,0.1
1.179673,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,45,4,ACTIVE,710,D_P1-A5.NC,D_P1-A5.NC,6,0.001668267,20,0.001,1609633.146,468592,184.4,2098.8374,100,29.63333,37,100,0,4,100,3700.0,5800,1000,5.9,24.2,0.2,1,341.9078398,400,100,5.4,22.6,0.0,8,221.8172714,1400,500,3.0,25.9,0.1,33,-296.1353974,400,100,3.3,27.8,0.1
1.327128,1,AUTO,ARMED,5,AVAILABLE,UNAVAILABLE,UNAVAILABLE,45,4,ACTIVE,710,D_P1-A5.NC,D_P1-A5.NC,6,-0.000332225,20,0.0005,1609633.146,468592,184.4,2098.8374,100,29.63333,37,100,0,4,100,3700.0,5800,1000,5.9,24.2,0.2,1,338.8485246,400,100,5.4,22.6,0.0,8,221.8173973,1400,500,3.0,25.9,0.1,33,-296.1353631,400,100,3.3,27.8,0.1
