time,COR_Status,Controller_Mode,EStop_State,Machine_Mode,avail,dev_asset_chg,dev_asset_rem,Block_Number,Current_Tool,Execution,Part_Count,Program_Name_Editing,Program_Name_Running,Machine_Time,Spindle_Time,energy,watt,Feed_Override,Feed_Rate,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,smapeak,smarms,smcrest,smdisp,smvrms,X_Axis_Load,X_Position,xmapeak,xmarms,xmcrest,xmdisp,xmvrms,Y_Axis_Load,Y_Position,ymapeak,ymarms,ymcrest,ymdisp,ymvrms,Z_Axis_Load,Z_Position,zmapeak,zmarms,zmcrest,zmdisp,zmvrms
0.0,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,8,E_P1-A3.NC,E_P1-A3.NC,2070973.162,193484.086,5707.6,2055.6978,100,0.0,33,100,0,0,100,0.0,2927.48,67.8257,43.1618,2.99344e-05,0.0115058,0,552.9580388,3072.53,38.3997,80.0144,2.45342e-05,0.0101024,0,508.0000047,408.291,50.2162,8.13066,1.49023e-05,0.00597704,7,-30.31976735,192.29,28.2982,6.79513,9.83727e-05,0.0186939
0.141083,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,8,E_P1-A3.NC,E_P1-A3.NC,2070973.162,193484.086,5707.6,2055.6978,100,0.0,33,100,0,0,100,0.0,2927.48,67.8257,43.1618,2.99344e-05,0.0115058,0,552.9580316,3072.53,38.3997,80.0144,2.45342e-05,0.0101024,0,507.9999976,408.291,50.2162,8.13066,1.49023e-05,0.00597704,7,-30.31976735,192.29,28.2982,6.79513,9.83727e-05,0.0186939
0.286535,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,8,E_P1-A3.NC,E_P1-A3.NC,2070973.162,193484.086,5707.6,2055.6978,100,0.0,33,100,0,0,100,0.0,2927.48,67.8257,43.1618,2.99344e-05,0.0115058,0,552.9580316,3072.53,38.3997,80.0144,2.45342e-05,0.0101024,0,507.9999976,408.291,50.2162,8.13066,1.49023e-05,0.00597704,7,-30.31976735,192.29,28.2982,6.79513,9.83727e-05,0.0186939
0.430139,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,8,E_P1-A3.NC,E_P1-A3.NC,2070973.162,193484.086,5707.6,2055.6978,100,0.0,33,100,0,0,100,0.0,2927.48,67.8257,43.1618,2.99344e-05,0.0115058,0,552.9580388,3072.53,38.3997,80.0144,2.45342e-05,0.0101024,0,508.0000047,408.291,50.2162,8.13066,1.49023e-05,0.00597704,7,-30.31976735,192.29,28.2982,6.79513,9.83727e-05,0.0186939
0.573851,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,8,E_P1-A3.NC,E_P1-A3.NC,2070973.162,193484.086,5707.6,2055.6978,100,0.0,33,100,0,0,100,0.0,2927.48,67.8257,43.1618,2.99344e-05,0.0115058,0,552.9580388,3072.53,38.3997,80.0144,2.45342e-05,0.0101024,0,507.9999976,408.291,50.2162,8.13066,1.49023e-05,0.00597704,7,-30.31977879,192.29,28.2982,6.79513,9.83727e-05,0.0186939
0.719597,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,8,E_P1-A3.NC,E_P1-A3.NC,2070973.162,193484.086,5707.6,2055.6978,100,0.0,33,100,0,0,100,0.0,2927.48,67.8257,43.1618,2.99344e-05,0.0115058,0,552.9580388,3072.53,38.3997,80.0144,2.45342e-05,0.0101024,0,508.0000047,408.291,50.2162,8.13066,1.49023e-05,0.00597704,7,-30.31977879,192.29,28.2982,6.79513,9.83727e-05,0.0186939
0.891219,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,8,E_P1-A3.NC,E_P1-A3.NC,2070973.162,193484.086,5707.6,2055.6978,100,0.0,33,100,0,0,100,0.0,2927.48,67.8257,43.1618,2.99344e-05,0.0115058,0,552.9580388,3072.53,38.3997,80.0144,2.45342e-05,0.0101024,0,507.9999976,408.291,50.2162,8.13066,1.49023e-05,0.00597704,7,-30.31977879,192.29,28.2982,6.79513,9.83727e-05,0.0186939
1.056265,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,8,E_P1-A3.NC,E_P1-A3.NC,2070973.162,193484.086,5707.6,2055.958,100,0.0,33,100,0,0,100,0.0,2903.48,68.8471,42.1729,3.94008e-05,0.013471,0,552.9580316,3096.53,38.5115,80.4053,9.64204e-05,0.0189286,0,507.9999976,384.272,53.403,7.1957,4.16431e-05,0.0126778,7,-30.31976735,192.289,27.9036,6.89119,6.34925e-05,0.0163574
1.207303,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,8,E_P1-A3.NC,E_P1-A3.NC,2070973.162,193484.086,5707.6,2055.958,100,0.0,33,100,0,0,100,0.0,2903.48,68.8471,42.1729,3.94008e-05,0.013471,0,552.9580388,3096.53,38.5115,80.4053,9.64204e-05,0.0189286,0,507.9999976,384.272,53.403,7.1957,4.16431e-05,0.0126778,7,-30.31977879,192.289,27.9036,6.89119,6.34925e-05,0.0163574
1.356609,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,8,E_P1-A3.NC,E_P1-A3.NC,2070973.162,193484.086,5707.6,2055.958,100,0.0,33,100,0,0,100,0.0,2903.48,68.8471,42.1729,3.94008e-05,0.013471,0,552.9580316,3096.53,38.5115,80.4053,9.64204e-05,0.0189286,0,507.9999976,384.272,53.403,7.1957,4.16431e-05,0.0126778,7,-30.31977879,192.289,27.9036,6.89119,6.34925e-05,0.0163574
