time,COR_Status,Controller_Mode,EStop_State,Machine_Mode,avail,dev_asset_chg,dev_asset_rem,Block_Number,Current_Tool,Execution,Part_Count,Program_Name_Editing,Program_Name_Running,Machine_Time,Spindle_Time,energy,watt,Feed_Override,Feed_Rate,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,smapeak,smarms,smcrest,smdisp,smvrms,X_Axis_Load,X_Position,xmapeak,xmarms,xmcrest,xmdisp,xmvrms,Y_Axis_Load,Y_Position,ymapeak,ymarms,ymcrest,ymdisp,ymvrms,Z_Axis_Load,Z_Position,zmapeak,zmarms,zmcrest,zmdisp,zmvrms
0.0,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,24,E_P3S-A3_0.25.NC,E_P3S-A3_0.5.NC,0,199608.001,5731.7,2039.0692,100,0.0,35,100,0,0,100,0.0,2951.47,48.0883,61.3761,3.25905e-05,0.0131664,0,557.948535,2232.38,33.1263,67.39,5.02409e-05,0.0119231,0,296.241477,336.239,48.262,6.96695,3.33779e-05,0.00848926,7,-30.31976735,216.322,28.1826,7.67573,6.57593e-05,0.0136561
0.149117,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,24,E_P3S-A3_0.25.NC,E_P3S-A3_0.5.NC,0,199608.001,5731.7,2039.0692,100,0.0,35,100,0,0,100,0.0,2951.47,48.0883,61.3761,3.25905e-05,0.0131664,0,557.948535,2232.38,33.1263,67.39,5.02409e-05,0.0119231,0,296.2414699,336.239,48.262,6.96695,3.33779e-05,0.00848926,7,-30.31976735,216.322,28.1826,7.67573,6.57593e-05,0.0136561
0.288784,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,24,E_P3S-A3_0.25.NC,E_P3S-A3_0.5.NC,0,199608.001,5731.7,2036.2393,100,0.0,35,100,0,0,100,0.0,2951.47,48.0883,61.3761,3.25905e-05,0.0131664,0,557.948535,2232.38,33.1263,67.39,5.02409e-05,0.0119231,0,296.2414699,336.239,48.262,6.96695,3.33779e-05,0.00848926,7,-30.31976735,216.322,28.1826,7.67573,6.57593e-05,0.0136561
0.428641,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,24,E_P3S-A3_0.25.NC,E_P3S-A3_0.5.NC,0,199608.001,5731.7,2036.2393,100,0.0,35,100,0,0,100,0.0,2951.47,48.0883,61.3761,3.25905e-05,0.0131664,0,557.948535,2232.38,33.1263,67.39,5.02409e-05,0.0119231,0,296.2414699,336.239,48.262,6.96695,3.33779e-05,0.00848926,7,-30.31976735,216.322,28.1826,7.67573,6.57593e-05,0.0136561
0.567157,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,24,E_P3S-A3_0.25.NC,E_P3S-A3_0.5.NC,0,199608.001,5731.7,2036.2393,100,0.0,35,100,0,0,100,0.0,2951.47,48.0883,61.3761,3.25905e-05,0.0131664,0,557.948535,2232.38,33.1263,67.39,5.02409e-05,0.0119231,0,296.2414699,336.239,48.262,6.96695,3.33779e-05,0.00848926,7,-30.31977879,216.322,28.1826,7.67573,6.57593e-05,0.0136561
0.703376,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,24,E_P3S-A3_0.25.NC,E_P3S-A3_0.5.NC,0,199608.001,5731.7,2036.2393,100,0.0,35,100,0,0,100,0.0,2951.47,48.0883,61.3761,3.25905e-05,0.0131664,0,557.948535,2232.38,33.1263,67.39,5.02409e-05,0.0119231,0,296.2414699,336.239,48.262,6.96695,3.33779e-05,0.00848926,7,-30.31976735,216.322,28.1826,7.67573,6.57593e-05,0.0136561
0.843146,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,24,E_P3S-A3_0.25.NC,E_P3S-A3_0.5.NC,0,199608.001,5731.7,2036.2393,100,0.0,35,100,0,0,100,0.0,2951.47,44.8596,65.7935,4.4819e-05,0.0139394,0,557.948535,2280.39,32.1616,70.9041,2.51687e-05,0.00717706,0,296.241477,384.272,47.5708,8.0779,3.40403e-05,0.0116421,7,-30.31976735,192.289,29.2711,6.56924,2.38749e-05,0.00803171
0.985757,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,24,E_P3S-A3_0.25.NC,E_P3S-A3_0.5.NC,0,199608.001,5731.7,2036.2393,100,0.0,35,100,0,0,100,0.0,2951.47,44.8596,65.7935,4.4819e-05,0.0139394,0,557.948535,2280.39,32.1616,70.9041,2.51687e-05,0.00717706,0,296.2414699,384.272,47.5708,8.0779,3.40403e-05,0.0116421,7,-30.31976735,192.289,29.2711,6.56924,2.38749e-05,0.00803171
1.12478,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,24,E_P3S-A3_0.25.NC,E_P3S-A3_0.5.NC,0,199608.001,5731.7,2036.2393,100,0.0,35,100,0,0,100,0.0,2951.47,44.8596,65.7935,4.4819e-05,0.0139394,0,557.948535,2280.39,32.1616,70.9041,2.51687e-05,0.00717706,0,296.2414699,384.272,47.5708,8.0779,3.40403e-05,0.0116421,7,-30.31976735,192.289,29.2711,6.56924,2.38749e-05,0.00803171
1.261657,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,5,ERROR,24,E_P3S-A3_0.25.NC,E_P3S-A3_0.5.NC,0,199608.001,5731.7,2036.0635,100,0.0,35,100,0,0,100,0.0,2951.47,44.8596,65.7935,4.4819e-05,0.0139394,0,557.948535,2280.39,32.1616,70.9041,2.51687e-05,0.00717706,0,296.2414699,384.272,47.5708,8.0779,3.40403e-05,0.0116421,7,-30.31976735,192.289,29.2711,6.56924,2.38749e-05,0.00803171
