split,n,isolation_outlier_n,isolation_outlier_percent,robust_outlier_n,robust_outlier_percent,criterion_agreement_percent
train,563,29,5.150976909413854,29,5.150976909413854,95.0266429840142
validation,192,13,6.770833333333333,4,2.083333333333333,95.3125
internal_test,172,1,0.5813953488372093,1,0.5813953488372093,100.0
external,1585,828,52.2397476340694,1583,99.87381703470032,52.36593059936908
