repeat,fold,prior_sd,experiment_sd,mean_gate,gate_sd,mean_uncertainty,scale_at_boundary,gradient_norm,hessian_condition,hierarchy_collapsed,coefficient_collapsed,mode_objective_spread
1,1,6.560858312126427,19.701714334120332,0.3215382806494096,0.04139237286040051,0.038483860278713346,False,2.72531268150078e-07,1950.6564147248514,False,False,0.48988255115315127
1,2,14.269703408699867,13.268540692443766,0.6813649598110083,0.08550314449131052,0.07380847835704497,False,1.1078141348708215e-07,552.2985807170246,False,False,1.0658141036401503e-14
1,3,19.13996693332375,0.0,0.21845890463296797,0.1302817599896381,0.08370627712392488,False,1.3639448589453096e-06,18.94877411419225,True,False,1.1368683772161603e-13
2,1,0.0,6.161929211932047,0.5000000000000001,1.1102230246251565e-16,0.061776309115434185,False,2.1862234200753505e-07,51.17918174943846,False,True,1.4210854715202004e-13
2,2,0.0018692671149030133,25.77669740723688,0.5000000113880673,1.912615918775599e-09,0.08376178372386724,False,6.742544729765321e-07,9.51399021192888,False,False,8.526512829121202e-14
2,3,49.34906206294572,0.0,0.7870181662152984,0.2500912537924528,0.004024362455559128,False,1.6445449020352498e-06,1125.3652367429595,True,False,1.1368683772161603e-13
3,1,10.11358513895185,0.0,0.6652367324554019,0.2266578516359351,0.05747669114404785,False,5.983656550800909e-08,1525.5712453584472,True,False,0.0
3,2,8.162027872967206,0.0018126590039529845,0.20346495123988403,0.11304536621526343,0.09976331744534041,False,5.238260443185538e-07,128.98781516629367,False,False,5.684341886080802e-14
3,3,12.016678972950475,18.73462168993571,0.2716412118489366,0.06749940946902626,0.02572367814725338,False,4.6811664483614734e-07,7553.65439411098,False,False,5.684341886080802e-14
4,1,0.0,16.13689455580204,0.49999999999999994,0.0,0.06559508056640431,False,2.929786743766094e-07,1.401842119142097,False,True,1.9895196601282805e-13
4,2,12.20584239188419,0.0,0.24019126616376282,0.23454162140135995,0.04730801733479831,False,2.9679298702012247e-07,1.309929254590693,True,False,5.684341886080802e-14
4,3,54.59710727292449,0.0,0.8378584492540904,0.1643431723550207,0.007634034847122189,True,6.587171606647901e-07,1056.821620741143,True,False,5.684341886080802e-14
5,1,4.2613861362555,4.45577059864892,0.3589496542263559,0.12254540460635563,0.061878363584430586,False,3.355084861045299e-07,114.1453228042457,False,False,3.126388037344441e-13
5,2,0.0,9.128625095241684,0.5000000000000001,0.0,0.14325030981456266,False,1.824059658317445e-07,5.680009928067191,False,True,5.684341886080802e-14
5,3,4.382043599759723,9.075243103150092,0.5333019533091332,0.039956736550078836,0.0295771913389035,False,2.709086987240372e-07,435.95498911585287,False,False,5.684341886080802e-14
