Model,Cohort,Split,repeat,n,MCC,PR-AUC,Macro-F1,AUROC,Precision,Recall,Specificity,FPR,FNR,Balanced Accuracy,Brier,NLL,ECE,Calibration intercept,Calibration slope,Worst-group MCC,Worst-group Brier,Worst-group NLL,Group MCC SD,Eligible MCC groups
No hierarchy,Current nested-threshold,Development OOF,2,563,0.7050844306465398,0.8280518190692697,0.8279034662339377,0.9489453153218234,0.6105769230769231,1.0,0.8142201834862385,0.18577981651376146,0.0,0.9071100917431192,0.08837305696186894,0.2852837084113802,0.09785148545606913,-0.5519936254490272,0.7545647743899213,0.0,0.4902196763005382,1.303992175421311,0.4714045207910317,3
Raw TabM,Current nested-threshold,Development OOF,2,563,0.6584672596788467,0.8076447150822141,0.8288444677466966,0.9102073250018061,0.7132352941176471,0.7637795275590551,0.9105504587155964,0.08944954128440367,0.23622047244094488,0.8371649931373257,0.13112113033170367,0.4449904612259293,0.13388225879532448,-0.7937851319177293,0.4115872348972046,0.0,0.6192429079745871,1.6448355522022706,0.40863595592985785,3
HBAF,Current nested-threshold,Development OOF,3,563,0.6828251014879855,0.8482821163698194,0.8354919027923534,0.9476991981506899,0.6707317073170732,0.8661417322834646,0.8761467889908257,0.12385321100917432,0.13385826771653545,0.8711442606371451,0.08292265317639826,0.25187317576560597,0.05240170847397315,-0.09119365644744823,1.020095429846221,-0.12803687993289598,0.689449355526563,1.8457245795719295,0.4654412354662466,3
TabM calibrated,Current nested-threshold,Development OOF,3,563,0.5394213950601188,0.7833402276685263,0.7663694780126504,0.8960124250523731,0.5897435897435898,0.7244094488188977,0.8532110091743119,0.14678899082568808,0.2755905511811024,0.7888102289966048,0.09814346031201485,0.3255665775277791,0.04800449690490299,0.1764945771841224,0.7642581063619314,0.0,0.7985139204761329,2.6561084758284776,0.2841608947071138,3
GaussianNB calibrated,Current nested-threshold,Development OOF,3,563,0.6492523742253893,0.7476727358792864,0.8237135998330027,0.9407462255291483,0.6950354609929078,0.7716535433070866,0.9013761467889908,0.09862385321100918,0.2283464566929134,0.8365148450480386,0.08763944472059777,0.26716947571299804,0.06423394562583894,-0.6035743552814525,0.8557172592919612,-0.14907119849998599,0.6223297349317493,1.6644679149543158,0.18353327641584447,3
Global learned fusion,Current nested-threshold,Development OOF,3,563,0.5172849926620708,0.7989847969461283,0.7557792330855566,0.9057285270533844,0.577922077922078,0.7007874015748031,0.8509174311926605,0.14908256880733944,0.2992125984251969,0.7758524163837318,0.09461599043175212,0.3097067247313093,0.052103557819898554,0.20774723457406366,0.8469811305782647,0.0,0.7260446772848042,1.9924420427526532,0.2808078463914107,3
Equal fusion,Current nested-threshold,Development OOF,3,563,0.6828251014879855,0.8724452091855494,0.8354919027923534,0.9533699342628044,0.6707317073170732,0.8661417322834646,0.8761467889908257,0.12385321100917432,0.13385826771653545,0.8711442606371451,0.07240368515277912,0.22980608752355028,0.04072937623560652,0.02670017311834293,1.2910554665821727,-0.12803687993289598,0.7010627690416338,1.8846412530099277,0.4654412354662466,3
MAP gate,Current nested-threshold,Development OOF,3,563,0.5470567740351708,0.780922087615085,0.7721707535473206,0.907209419923427,0.6137931034482759,0.7007874015748031,0.8715596330275229,0.12844036697247707,0.2992125984251969,0.786173517301163,0.10530109310446772,0.33305458168157936,0.06316766291279502,-0.09348694889825954,0.6743167997052931,0.0,0.6543034647237614,1.8209984596596425,0.40948919512634696,3
No hierarchy,Current nested-threshold,Development OOF,3,563,0.6422251594748293,0.8334344687144396,0.8064385060165651,0.9350032507404464,0.6031746031746031,0.8976377952755905,0.8279816513761468,0.1720183486238532,0.10236220472440945,0.8628097233258687,0.08639795307180122,0.27153594423551886,0.040173239344963516,-0.12992509338906366,0.9196942599303931,-0.07273929674533079,0.7976046388790531,2.637572029168722,0.4894510081115453,3
Raw TabM,Current nested-threshold,Development OOF,3,563,0.5456234635253097,0.7690804660691396,0.7677775944563603,0.8866755761034457,0.5828220858895705,0.7480314960629921,0.8440366972477065,0.1559633027522936,0.25196850393700787,0.7960340966553493,0.13501274548596023,0.41167683624254064,0.12734542967930246,-1.0114131491003473,0.5900395519982997,0.0,0.6936116091256149,2.1843017540279717,0.4082712012707957,3
HBAF,Current nested-threshold,Development OOF,4,563,0.5537359835543674,0.8558327651767474,0.7658376014545282,0.9585711189771005,0.5604395604395604,0.8031496062992126,0.8165137614678899,0.1834862385321101,0.1968503937007874,0.8098316838835513,0.087201615078429,0.28725896125702904,0.07638865735852685,-1.0643079352780156,0.8199917287573468,0.0,0.6441610309743316,1.802704772215767,0.0,3
TabM calibrated,Current nested-threshold,Development OOF,4,563,0.5053807036050233,0.9111764792360741,0.7286848347871566,0.9618579787618291,0.4953271028037383,0.8346456692913385,0.7522935779816514,0.24770642201834864,0.16535433070866143,0.793469623636495,0.07626542522639344,0.3406462778929394,0.08743112328873508,-1.3368794469717322,0.4466856320577049,0.0,0.7589666464384689,3.46192019239072,0.4714045207910317,3
GaussianNB calibrated,Current nested-threshold,Development OOF,4,563,0.6112134485714678,0.5885124958366023,0.8002887312324698,0.8963284692624431,0.6257668711656442,0.8031496062992126,0.8600917431192661,0.13990825688073394,0.1968503937007874,0.8316206747092394,0.10068855238540686,0.3122766994424193,0.06937437495989267,-0.6080701151759738,0.8084766812509684,0.0,0.7955212734747774,2.353617997223085,0.13801311186847084,3
