feature_group,features_in_group,oof_delta_log_loss
ymapeak,1,0.08333096842035177
zmapeak,1,0.05258651009266572
process_metadata,1,0.03517366544209198
z_position,1,0.0034081151064831072
smarms,1,0.002457450011516583
smvrms,1,0.0022906592738965474
Tool,1,6.57412157820129e-05
part_count,1,-8.34759430892138e-05
spindle_time,1,-0.0019183698526979262
smapeak,1,-0.0038497519511254117
machine_time,2,-0.010022819230508032
