split,n,features_evaluated,overall_missing_percent,rows_with_any_missing_percent,median_row_missing_percent,median_feature_missing_percent,maximum_feature_missing_percent
train,563,748,0.24339624433658497,25.22202486678508,0.0,0.17761989342806395,23.623445825932503
validation,192,748,0.5340630570409982,8.333333333333332,0.0,0.5208333333333333,6.25
internal_test,172,748,0.06529038676781496,24.418604651162788,0.0,0.0,21.511627906976745
external,1585,748,0.4849946861451779,96.15141955835962,0.267379679144385,0.12618296529968456,95.20504731861199
