model,repeat,outer_fold,fit_seconds,inference_ms_per_path,model_size_mb,parameter_count
HBAF,1,1,26.86704395900597,0.07384028125064408,8.906402587890625,13
HBAF,1,2,24.544687917019473,0.07657682302427322,8.906402587890625,13
HBAF,1,3,13.465822166006546,0.10891992165629008,8.906664848327637,4
HBAF,2,1,17.100075750000542,0.03611501567017209,8.983077049255371,9
HBAF,2,2,17.87547070797882,0.04369184368139637,8.906402587890625,13
HBAF,2,3,17.151150749996305,0.11615409494986415,8.90673542022705,4
HBAF,3,1,16.846308209002018,0.0685839842541706,8.906041145324707,4
HBAF,3,2,10.884269709000364,0.07362413013349094,8.906402587890625,13
HBAF,3,3,13.190625874995021,0.08743156434437416,8.983774185180664,11
HBAF,4,1,11.201167624996742,0.06332269792134564,8.983073234558105,9
HBAF,4,2,14.09646108400193,0.06344401041739427,8.982666969299316,4
HBAF,4,3,10.212401832977775,0.09634240784723958,8.906783103942871,4
HBAF,5,1,9.960070291010197,0.0534086354188427,8.906354904174805,13
HBAF,5,2,8.788622333027888,0.08097504163136666,8.98308277130127,9
HBAF,5,3,14.247915458981879,0.057454374436726116,8.907140731811523,11
