time,COR_Status,Controller_Mode,EStop_State,Machine_Mode,avail,dev_asset_chg,dev_asset_rem,Block_Number,Current_Tool,Execution,Part_Count,Program_Name_Editing,Program_Name_Running,A_Axis_Load,A_Position,C_Axis_Load,C_Position,Machine_Time,Spindle_Time,energy,watt,Feed_Override,Feed_Rate,Program_Runtime_Seconds,Rapid_Override,Rapid_Speed,S_Axis_Load,Spindle_Override,Spindle_Speed,smapeak,smarms,smcrest,smtemp,smvrms,X_Axis_Load,X_Position,xmapeak,xmarms,xmcrest,xmtemp,xmvrms,Y_Axis_Load,Y_Position,ymapeak,ymarms,ymcrest,ymtemp,ymvrms,Z_Axis_Load,Z_Position,zmapeak,zmarms,zmcrest,zmtemp,zmvrms
0.0,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,715,A_N2-A5.NC,A_N2-A5.NC,3,0.000167898,17,0.0005,1619720.208,470033.0,184.4,1159.8077,100,0.0,21,100,0,0,100,0.0,300,100,4.0,26.0,0.0,7,-6.5e-06,300,100,2.4,22.4,0.0,4,507.9999927,1500,900,1.7,25.6,0.0,34,-99.8670012,300,100,3.9,28.1,0.0
0.152544,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,715,A_N2-A5.NC,A_N2-A5.NC,3,0.000167898,17,0.0005,1619720.208,470033.0,184.4,1159.8077,100,0.0,21,100,0,0,100,0.0,300,100,4.0,26.0,0.0,7,-6.5e-06,300,100,2.4,22.4,0.0,4,508.0000042,1500,900,1.7,25.6,0.0,34,-99.8670012,300,100,3.9,28.1,0.0
0.303625,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,715,A_N2-A5.NC,A_N2-A5.NC,3,0.000167898,17,0.0005,1619720.208,470033.0,184.4,1159.8077,100,0.0,21,100,0,0,100,0.0,300,100,4.0,26.0,0.0,7,-6.5e-06,300,100,2.4,22.4,0.0,4,508.0000042,1500,900,1.7,25.6,0.0,34,-99.8670012,300,100,3.9,28.1,0.0
0.445513,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,715,A_N2-A5.NC,A_N2-A5.NC,3,0.000167898,17,0.0005,1619720.208,470033.0,184.4,1159.8077,100,0.0,21,100,0,0,100,0.0,300,100,4.0,26.0,0.0,7,4.93983159102415e-06,300,100,2.4,22.4,0.0,4,508.0000042,1500,900,1.7,25.6,0.0,34,-99.8670012,300,100,3.9,28.1,0.0
0.592458,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,715,A_N2-A5.NC,A_N2-A5.NC,3,0.000167898,17,0.0005,1619720.208,470033.0,184.4,1159.8077,100,0.0,21,100,0,0,100,0.0,300,100,4.0,26.0,0.0,7,-6.5e-06,300,100,2.4,22.4,0.0,4,508.0000042,1500,900,1.7,25.6,0.0,34,-99.8670012,300,100,3.9,28.1,0.0
0.734204,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,715,A_N2-A5.NC,A_N2-A5.NC,3,0.000167898,17,0.0005,1619720.208,470033.0,184.4,1176.6511,100,0.0,21,100,0,0,100,0.0,300,100,4.0,26.0,0.0,7,4.93983159102415e-06,300,100,2.4,22.4,0.0,4,508.0000042,1500,900,1.7,25.6,0.0,34,-99.8670012,300,100,3.9,28.1,0.0
0.871528,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,715,A_N2-A5.NC,A_N2-A5.NC,3,0.000167898,17,0.0005,1619720.208,470033.0,184.4,1176.6511,100,0.0,21,100,0,0,100,0.0,300,100,4.0,26.0,0.0,7,4.93983159102415e-06,300,100,2.4,22.4,0.0,4,507.9999927,1500,900,1.7,25.6,0.0,34,-99.8670012,300,100,3.9,28.1,0.0
1.047991,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,715,A_N2-A5.NC,A_N2-A5.NC,3,0.000167898,17,0.0005,1619720.208,470033.0,184.4,1176.6511,100,0.0,21,100,0,0,100,0.0,300,100,4.0,26.0,0.0,7,4.93983159102415e-06,300,100,2.4,22.4,0.0,4,507.9999927,1500,900,1.7,25.6,0.0,34,-99.8670012,300,100,3.9,28.1,0.0
1.19503,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,715,A_N2-A5.NC,A_N2-A5.NC,3,0.000167898,17,0.0005,1619720.208,470033.0,184.4,1176.6511,100,0.0,21,100,0,0,100,0.0,300,100,4.0,26.0,0.0,7,4.93983159102415e-06,300,100,2.4,22.4,0.0,4,507.9999927,1500,900,1.7,25.6,0.0,34,-99.8670012,300,100,3.9,28.1,0.0
1.344225,1,AUTO,ARMED,4,AVAILABLE,UNAVAILABLE,UNAVAILABLE,0,7,ERROR,715,A_N2-A5.NC,A_N2-A5.NC,3,0.000167898,17,0.0005,1619720.208,470033.0,184.4,1176.6511,100,0.0,21,100,0,0,100,0.0,300,100,4.0,26.0,0.0,7,4.93983159102415e-06,300,100,2.4,22.4,0.0,4,507.9999927,1500,900,1.7,25.6,0.0,34,-99.8670012,300,100,3.9,28.1,0.0
